,id,event,place,country,latitude,longitude,radius,max_hail_diameter,status,datetime
1465,IT_22370,large hail,Tavernerio ,Italy,45.8,9.15,,,report confirmed by reliable source,2019-08-06 17:30:00
1466,IT_22365,large hail,Bolzano / Bozen ,Italy,46.49,11.33,< 3 km,2 cm,report confirmed by reliable source,2019-08-06 11:40:00
1467,IT_22364,large hail,Pieve d''Alpago ,Italy,46.17,12.36,,,report confirmed by reliable source,2019-08-05 16:00:00
1468,IT_22351,large hail,Ravenna ,Italy,44.3,12.2,,00 cm,report confirmed by reliable source,2019-08-02 16:00:00
1469,IT_22313,large hail,Massa Lombarda ,Italy,44.45,11.82,,00 cm,report confirmed by reliable source,2019-08-02 15:30:00
1470,IT_22358,large hail,Budrio ,Italy,44.54,11.54,,,report confirmed by reliable source,2019-08-02 15:00:00
1471,IT_22340,large hail,Bergantino ,Italy,45.07,11.25,,,report confirmed by reliable source,2019-08-02 15:00:00
1472,IT_22322,large hail,San Giovanni in Persiceto ,Italy,44.71,11.23,,,report confirmed by reliable source,2019-08-02 15:00:00
1473,IT_22315,large hail,Medicina ,Italy,44.49,11.62,,00 cm,report confirmed by reliable source,2019-08-02 15:00:00
1474,IT_22328,large hail,Pojana Maggiore ,Italy,45.3,11.49,,00 cm,report confirmed by reliable source,2019-08-02 14:30:00
1475,IT_22317,large hail,Sermide ,Italy,45.0,11.3,,,report confirmed by reliable source,2019-08-02 14:00:00
1476,IT_22308,large hail,Carpaneto Piacentino ,Italy,44.84,9.79,,,report confirmed by reliable source,2019-08-02 14:00:00
1477,IT_22307,large hail,Lugugnano Val D''Arda ,Italy,44.81,9.77,< 5 km,00 cm,report confirmed by reliable source,2019-08-02 14:00:00
1478,IT_22306,large hail,Agazzano ,Italy,44.97,9.5,,,report confirmed by reliable source,2019-08-02 14:00:00
1479,IT_22363,large hail,Puegnago sul Garda ,Italy,45.57,10.51,,,report confirmed by reliable source,2019-08-02 13:30:00
1480,IT_22326,large hail,Torrebelvicino ,Italy,45.72,11.31,,00 cm,report confirmed by reliable source,2019-08-02 13:00:00
1481,IT_22305,large hail,Mapello ,Italy,45.71,9.55,,00 cm,report confirmed by reliable source,2019-08-02 13:00:00
1482,IT_22303,large hail,Terno d''Isola ,Italy,45.69,9.53,,00 cm,report confirmed by reliable source,2019-08-02 13:00:00
1483,IT_22302,large hail,Brembate di Sopra ,Italy,45.72,9.58,,00 cm,report confirmed by reliable source,2019-08-02 13:00:00
1484,IT_22344,large hail,Bulgarograsso ,Italy,45.75,9.01,,00 cm,report confirmed by reliable source,2019-08-02 12:30:00
1485,IT_22311,large hail,Bisuschio ,Italy,45.87,8.87,,,report confirmed by reliable source,2019-08-02 12:00:00
1486,IT_22301,large hail,Induno Olona ,Italy,45.85,8.84,,,report confirmed by reliable source,2019-08-02 12:00:00
1487,IT_22300,large hail,Arcisate ,Italy,45.86,8.86,,,report confirmed by reliable source,2019-08-02 12:00:00
1488,IT_22357,large hail,Guanzate ,Italy,45.72,9.01,,00 cm,report confirmed by reliable source,2019-08-02 11:23:00
1489,IT_22324,large hail,Salzano ,Italy,45.52,12.1,,00 cm,report confirmed by reliable source,2019-08-02 08:45:00
1490,IT_22339,large hail,Noale ,Italy,45.55,12.07,,00 cm,report confirmed by reliable source,2019-08-02 08:30:00
1491,IT_22304,large hail,[ Altro ] ,Italy,45.84,10.37,,,report confirmed by reliable source,2019-08-02 07:45:00
1492,IT_22338,large hail,Zenson di Piave ,Italy,45.68,12.49,,,report confirmed by reliable source,2019-08-02 06:30:00
1493,IT_22276,large hail,Brugine ,Italy,45.3,12.0,,00 cm,report confirmed by reliable source,2019-07-31 14:15:00
1494,IT_22277,large hail,Terrassa Padovana ,Italy,45.24,11.94,,,report confirmed by reliable source,2019-07-31 14:00:00
1495,IT_22273,large hail,Maserà di Padova ,Italy,45.32,11.86,,00 cm,report confirmed by reliable source,2019-07-31 14:00:00
1496,IT_22272,large hail,Abano Terme ,Italy,45.36,11.79,,00 cm,report confirmed by reliable source,2019-07-31 14:00:00
1497,IT_22271,large hail,Due Carrare ,Italy,45.29,11.82,,00 cm,report confirmed by reliable source,2019-07-31 14:00:00
1498,IT_22268,large hail,Albignasego ,Italy,45.35,11.85,,00 cm,report confirmed by reliable source,2019-07-31 14:00:00
1499,IT_22267,large hail,Maserà di Padova ,Italy,45.32,11.87,< 1 km,5 cm,plausibility check passed,2019-07-31 13:50:00
1500,IT_22281,large hail,Casalserugo ,Italy,45.3,11.91,,,report confirmed by reliable source,2019-07-31 13:45:00
